Date,Algoritmo Genético,Markowitz,IBOV
2022-04-27,0.5406242605518998,0.7159401698523629,-0.05070752669502454
2022-04-28,0.5621727794994926,0.755648475453573,-0.04575918048441596
2022-04-29,0.5385875532398174,0.7343635322392701,-0.06349509506033402
2022-05-02,0.516191475256365,0.7023483027303958,-0.07423387446826879
2022-05-03,0.5206306963511333,0.7110428085403016,-0.0751974997829663
2022-05-04,0.5538448097275634,0.7564631708016141,-0.05943224238215028
2022-05-05,0.5295496320499085,0.7308430001096446,-0.08582342217206262
2022-05-06,0.5350200383035872,0.7412166196700514,-0.08729056341696229
2022-05-09,0.4933885595517038,0.6750787843377368,-0.10365483114853624
2022-05-10,0.49112600215895785,0.6771111280278046,-0.10487021442833477
2022-05-11,0.5116760842399426,0.7068081309386789,-0.09369736956332908
2022-05-12,0.5334066664919879,0.7340602130631466,-0.08248979946175772
2022-05-13,0.5597083838099122,0.7662529522244652,-0.07175970136296439
2022-05-16,0.5652185644403318,0.7685090105545935,-0.06039586769684746
2022-05-17,0.5812005158983913,0.7887740525302755,-0.05556905981421889
2022-05-18,0.5328227706962807,0.7300955336546231,-0.07763694765170481
2022-05-19,0.53152925151731,0.7296030549733046,-0.07105651532250945
2022-05-20,0.541948272820248,0.7366102687864575,-0.05818213386578586
2022-05-23,0.5730907823334124,0.7771490442784006,-0.04205226148103014
2022-05-24,0.5647358696686675,0.7539377552490505,-0.04001215383279666
2022-05-25,0.5713566149475737,0.7684407046655646,-0.040020835141938105
2022-05-26,0.5871799305215573,0.7811848312769716,-0.028648320166679953
2022-05-27,0.5772654489780851,0.767326654360962,-0.028196892091326142
2022-05-30,0.5581095605723365,0.7419533946419328,-0.036096883410017044
2022-05-31,0.5727254568043652,0.7619928261315752,-0.03332754579390462
2022-06-01,0.57429387363558,0.7614751539231488,-0.03324941401163173
2022-06-02,0.5879223429338041,0.7833663383683855,-0.024281621668546416
2022-06-03,0.5745031366926767,0.7682274082037872,-0.03548919177011778
2022-06-06,0.5707941423143592,0.7634713603660244,-0.04344127094365713
2022-06-07,0.5744439256686558,0.765453324914489,-0.044448302804061646
2022-06-08,0.5616086998917922,0.7581789353286392,-0.05922389096275604
2022-06-09,0.5458931705566357,0.7373211794887646,-0.07028387880892317
2022-06-10,0.5180884624131603,0.6958906179876985,-0.08428683045403129
2022-06-13,0.4753675028947917,0.6394243766380672,-0.10931504470874098
2022-06-14,0.47046119014170595,0.6383586465067896,-0.11395954509939987
2022-06-15,0.4773834387495479,0.6463590686135317,-0.10750065109818441
2022-06-17,0.42955966026903303,0.5887461461460439,-0.1333883149578945
2022-06-20,0.42812854798781386,0.5812282887837952,-0.1331452383019348
2022-06-21,0.42734658311446116,0.5848031169909695,-0.13460369823769314
2022-06-22,0.42503077648394183,0.583909669672634,-0.13601875162774435
2022-06-23,0.41299588061075365,0.5780100279875111,-0.14853719940966992
2022-06-24,0.43026127254331636,0.5986668736615177,-0.1433978643979501
2022-06-27,0.45930178977873615,0.6334226575907493,-0.12523656567410257
2022-06-28,0.46090404865432166,0.6336780744012538,-0.1267384321555679
2022-06-29,0.4397782934805834,0.6060106138966952,-0.1351506207136025
2022-06-30,0.42262275431987306,0.5778489654836405,-0.14452643458633452
2022-07-01,0.4431162005095999,0.6073369026606794,-0.14094973522007015
2022-07-04,0.44591490787594656,0.613064230626351,-0.1439447868738596
2022-07-05,0.4150452880131503,0.5698784495907825,-0.146670717944265
2022-07-06,0.40956765969007947,0.5591162108395034,-0.14298984286830352
2022-07-07,0.43082975759587105,0.5856497195663775,-0.1255317301849107
2022-07-08,0.4249874022690123,0.5821749077574001,-0.12936018751627631
2022-07-11,0.40744706636675,0.5584671160440078,-0.1473912666030026
2022-07-12,0.4114025231511633,0.5682404987707079,-0.1468790693636589
2022-07-13,0.40315611721842726,0.5628514669252087,-0.15026477992881215
2022-07-14,0.3896826520271419,0.547632161711378,-0.1655438840177088
2022-07-15,0.3926473487210247,0.550824792487153,-0.16181092108689876
2022-07-18,0.40993853633998034,0.576725366011158,-0.15864224325028098
2022-07-19,0.44192513067962125,0.6195771793392955,-0.1471047834013357
2022-07-20,0.4451652317671635,0.6258265773732867,-0.14674016841739623
2022-07-21,0.4492290910529244,0.6256449838603471,-0.140263911797898
2022-07-22,0.45398170294493645,0.6292610009061768,-0.14120149318517117
2022-07-25,0.48208218995386765,0.6628971699089912,-0.12952513238996322
2022-07-26,0.48497124990729334,0.6648972517332103,-0.13384842434238964
2022-07-27,0.5141868424140863,0.7000973248717761,-0.11938536331278637
2022-07-28,0.5172258609405513,0.6986650675175334,-0.10932372601788232
2022-07-29,0.5435668044419248,0.730218148951568,-0.10439274242555652
2022-08-01,0.5380368373459539,0.7272011084809666,-0.11255317301848988
2022-08-02,0.5487866376580297,0.7382999708907791,-0.10268252452469695
2022-08-03,0.5566090043234049,0.7557630708415668,-0.09909714384929103
2022-08-04,0.5849376663068437,0.7966129628692729,-0.08071881239690804
2022-08-05,0.596784175611718,0.8123218497570115,-0.07568365309488523
2022-08-08,0.6272219578660334,0.8560359523411831,-0.058928726451947355
2022-08-09,0.6343002468921839,0.8658016867910561,-0.0567670804757342
2022-08-10,0.6557177255865536,0.8922285380249175,-0.043007205486585875
2022-08-11,0.6556140299373565,0.8942425972923485,-0.047504123621840644
2022-08-12,0.6996672227378344,0.9540264459938381,-0.02106085597707974
2022-08-15,0.6962927964156385,0.9537744689484533,-0.018734265127179572
2022-08-16,0.7138031946768213,0.9718414811528842,-0.014567236739298606
2022-08-17,0.7470491031900033,1.0145298140541414,-0.012865700147580594
2022-08-18,0.7516743573575786,1.0251382834670588,-0.01195416268773175
2022-08-19,0.7109633839176048,0.9690322240493632,-0.03206875596839842
2022-08-22,0.689349936355244,0.9411434430529195,-0.04070665856410993
2022-08-23,0.7184593441522629,0.980622233022324,-0.020253494226927904
2022-08-24,0.7244439400638103,1.0003229091359405,-0.019897560552129878
2022-08-25,0.7296489005084368,1.0100795526934698,-0.014393610556470482
2022-08-26,0.7118969635643175,0.9940401913844321,-0.025097664727839475
2022-08-29,0.7215131037040345,1.0054659972288889,-0.02488931330844546
2022-08-30,0.6887129334223787,0.9564642657035127,-0.04131435020400931
2022-08-31,0.6893890751204406,0.961907290212237,-0.04919697890441732
2022-09-01,0.6884877710018571,0.9541023189331874,-0.041540064241686214
2022-09-02,0.6855123304098911,0.9449536014666797,-0.03755534334577504
2022-09-05,0.6968676482587,0.9489113352471104,-0.025931070405415535
2022-09-06,0.668355656306203,0.91222836343133,-0.04710478340133528
2022-09-08,0.6615744337916545,0.918261072760554,-0.04578522441183963
2022-09-09,0.6753256378694605,0.9300570496113765,-0.025088983418697808
2022-09-12,0.677789412657317,0.9245786629189379,-0.01547877419914745
2022-09-13,0.6374479146239902,0.8710554562263422,-0.03816303498567408
2022-09-14,0.6472226435706605,0.8846505169081975,-0.04030731834360446
2022-09-15,0.6462243602335653,0.892754285634545,-0.04545533466446561
2022-09-16,0.6322921261047876,0.8711791007664544,-0.051306537025781696
2022-09-19,0.654005971651985,0.8967217450666958,-0.029221286570012883
2022-09-20,0.6674754996894139,0.9170339054276075,-0.023205139335009783
2022-09-21,0.6503857839035827,0.8961933625428642,-0.028248979946173924
2022-09-22,0.6729134265038308,0.923063501340341,-0.009723066238386813
2022-09-23,0.6100377878450995,0.8252125262830978,-0.030158867957286062
2022-09-26,0.5897647509129469,0.8079432524161587,-0.05274763434325713
2022-09-27,0.5794186849003473,0.7882648847281861,-0.05915444048962393
2022-09-28,0.581409419689153,0.7944494167751899,-0.05850334230401766
2022-09-29,0.5541483477631812,0.7497593294227001,-0.06533553259831404
2022-09-30,0.5673833357098477,0.753317753157055,-0.04473478600572789
2022-10-03,0.6657891189449123,0.874331509375365,0.008195155829501033
2022-10-04,0.6619641423462319,0.8755561712483309,0.009028561507077093
2022-10-05,0.6756147783321034,0.88752886469269,0.017432068755970365
2022-10-06,0.6935907577770151,0.9166200336224017,0.020583383974305258
2022-10-07,0.672897120932985,0.8853026366111874,0.010287351332582961
2022-10-10,0.6881236472645167,0.8980128437973482,0.006519663165207357
2022-10-11,0.6604888218845182,0.8618094656205593,-0.003151315218332895
2022-10-13,0.6543179007375288,0.8488538147556539,-0.007726365135860447
2022-10-14,0.6250156756880525,0.8124968302412878,-0.02706832190294095
2022-10-17,0.66397651747348,0.8659001839178384,-0.013594930115459314
2022-10-18,0.7050069556460885,0.9189261264940418,0.004800763955206566
2022-10-19,0.7232581030142209,0.9381226720215954,0.009410539109299787
2022-10-20,0.7378175323161591,0.9550100146184615,0.017197673409152126
2022-10-21,0.7733134880994403,0.9983275040684922,0.041140724021184516
2022-10-24,0.729806596886809,0.9442870734500337,0.007144717423389402
2022-10-25,0.7307285573820026,0.9526053903898799,-0.004896258355758132
2022-10-26,0.6938445827905257,0.9005959986762411,-0.021060855977079407
2022-10-27,0.7187446891116034,0.9259308306573766,-0.004766038718636789
2022-10-28,0.737003098355925,0.9447358408090918,-0.0056515322510614086
2022-10-31,0.7303267155708375,0.9365172014185681,0.007353068842783417
2022-11-01,0.7427347517200711,0.9576567714932442,0.015096796596928641
2022-11-03,0.7423137810251861,0.9532237220824997,0.014810313395261732
2022-11-04,0.7346561890047183,0.9342092368741741,0.02574008160430763
2022-11-07,0.6981686017175124,0.8883926735893048,0.0013195589894972048
2022-11-08,0.707810351107462,0.8988819615099086,0.008420869867177494
2022-11-09,0.6901138822860051,0.8798645309710296,-0.01397690771768234
2022-11-10,0.6616263301720482,0.8500420398692452,-0.04700928900077983
2022-11-11,0.7204437105491779,0.9232070669856116,-0.025497004948344726
2022-11-14,0.7115711489843448,0.9017609419728001,-0.017614376247936825
2022-11-16,0.7035715098480237,0.9179225850331083,-0.04294643632259609
2022-11-17,0.6740439478079301,0.8758727722737725,-0.0476343432589621
2022-11-18,0.6630202384576243,0.8667246766503915,-0.05477906068234961
2022-11-21,0.6848377549057181,0.9025833919417092,-0.04724368434759829
2022-11-22,0.6827470466091903,0.9049044712270011,-0.05341609514714685
2022-11-23,0.6786871588255532,0.8967466712750138,-0.05648927858320907
2022-11-24,0.7259456212153348,0.9549254527072615,-0.029160517406023545
2022-11-25,0.6855266272112066,0.9126965043517217,-0.05393697369563211
2022-11-28,0.6822555840878837,0.9111309096977487,-0.055629828978208784
2022-11-29,0.6901508052290859,0.9200906633572405,-0.03715600312527012
2022-11-30,0.7084318310508033,0.943297961068134,-0.02347425991839447
2022-12-01,0.6943201098203091,0.9298980052683021,-0.037017102179007444
2022-12-02,0.7101423343192388,0.9517842128044021,-0.02835315565587171
2022-12-05,0.6718383746397905,0.9014331141599703,-0.05025609861967062
2022-12-06,0.6660385927694807,0.8926107989020677,-0.049110165813003426
2022-12-07,0.6585068424463063,0.8817000378721145,-0.05060335098532742
2022-12-08,0.6327724884225383,0.8487479128938744,-0.06897300112856908
2022-12-09,0.634082531332991,0.8460299459605587,-0.06511849986977924
2022-12-12,0.6173846857987599,0.8301969851098929,-0.0861706745377192
